Номер,Наименование продукции, Срок годности, Место на складе, Дата изготовления, Номер партии
Номер,Наименование продукции, Срок годности, Место на складе, Дата изготовления, Номер партии
Номер,Наименование продукции, Срок годности, Место на складе, Дата изготовления, Номер партии
1,Кальцинированная сода, 3, 12, 01.01.2024, 1234
2,Поташ (Карбонат калия), 5, 34, 15.02.2024, 5678
3,E501, 6, 56, 20.03.2024, 9012
4,Сульфат калия, 4, 78, 25.04.2024, 1111
5,Кальцинированная сода, 3, 23, 10.05.2024, 2345
6,Поташ (Карбонат калия), 7, 45, 15.06.2024, 6789
7,E501, 8, 90, 20.07.2024, 3456
8,Сульфат калия, 2, 12, 25.08.2024, 1234
9,Кальцинированная сода, 3, 34, 01.09.2024, 5678
10,Поташ (Карбонат калия), 6, 56, 15.10.2024, 9012
11,Кальцинированная сода, 3, 67, 20.11.2024, 1111
12,Поташ (Карбонат калия), 5, 78, 25.12.2024, 2345
13,E501, 7, 12, 01.01.2025, 6789
14,Сульфат калия, 3, 34, 15.02.2025, 3456
15,Кальцинированная сода, 3, 45, 20.03.2025, 1234
16,Поташ (Карбонат калия), 8, 56, 25.04.2025, 5678
17,E501, 6, 90, 10.05.2025, 9012
18,Сульфат калия, 4, 12, 15.06.2025, 1111
19,Кальцинированная сода, 3, 23, 20.07.2025, 2345
20,Поташ (Карбонат калия), 7, 45, 25.08.2025, 6789
21,E501, 8, 67, 01.09.2025, 3456
22,Сульфат калия, 2, 78, 15.10.2025, 1234
23,Кальцинированная сода, 3, 34, 20.11.2025, 5678
24,Поташ (Карбонат калия), 6, 56, 25.12.2025, 9012
25,E501, 7, 12, 01.01.2026, 1111
26,Сульфат калия, 3, 34, 15.02.2026, 2345
27,Кальцинированная сода, 3, 45, 20.03.2026, 6789
28,Поташ (Карбонат калия), 8, 56, 25.04.2026, 3456
29,E501, 6, 90, 10.05.2026, 1234
30,Сульфат калия, 4, 12, 15.06.2026, 5678
31,Кальцинированная сода, 3, 23, 20.07.2026, 9012
32,Поташ (Карбонат калия), 7, 45, 25.08.2026, 1111
33,E501, 8, 67, 01.09.2026, 2345
34,Сульфат калия, 2, 78, 15.10.2026, 6789
35,Кальцинированная сода, 3, 34, 20.11.2026, 3456
36,Поташ (Карбонат калия), 6, 56, 25.12.2026, 1234
37,E501, 7, 12, 01.01.2027, 5678
38,Сульфат калия, 3, 34, 15.02.2027, 9012
39,Кальцинированная сода, 3, 45, 20.03.2027, 1111
40,Поташ (Карбонат калия), 8, 56, 25.04.2027, 2345
41,E501, 6, 90, 10.05.2027, 6789
42,Сульфат калия, 4, 12, 15.06.2027, 3456
43,Кальцинированная сода, 3, 23, 20.07.2027, 1234
44,Поташ (Карбонат калия), 7, 45, 25.08.2027, 5678
45,E501, 8, 67, 01.09.2027, 9012
46,Сульфат калия, 2, 78, 15.10.2027, 1111
47,Кальцинированная сода, 3, 34, 20.11.2027, 2345
48,Поташ (Карбонат калия), 6, 56, 25.12.2027, 6789
49,E501, 7, 12, 01.01.2028, 3456
50,Сульфат калия, 3, 34, 15.02.2028, 1234
51,Кальцинированная сода, 3, 45, 20.03.2028, 5678
52,Поташ (Карбонат калия), 8, 56, 25.04.2028, 9012
53,E501, 6, 90, 10.05.2028, 1111
54,Сульфат калия, 4, 12, 15.06.2028, 2345
55,Кальцинированная сода, 3, 23, 20.07.2028, 6789
56,Поташ (Карбонат калия), 7, 45, 25.08.2028, 3456
57,E501, 8, 67, 01.09.2028, 1234
58,Сульфат калия, 2, 78, 15.10.2028, 5678
59,Кальцинированная сода, 3, 34, 20.11.2028, 9012
60,Поташ (Карбонат калия), 6, 56, 25.12.2028, 1111
61,E501, 7, 12, 01.01.2029, 2345
62,Сульфат калия, 3, 34, 15.02.2029, 6789
63,Кальцинированная сода, 3, 45, 20.03.2029, 3456
64,Поташ (Карбонат калия), 8, 56, 25.04.2029, 1234
65,E501, 6, 90, 10.05.2029, 5678
66,Сульфат калия, 4, 12, 15.06.2029, 9012
67,Кальцинированная сода, 3, 23, 20.07.2029, 1111
68,Поташ (Карбонат калия), 7, 45, 25.08.2029, 2345
69,E501, 8, 67, 01.09.2029, 6789
70,Сульфат калия, 2, 78, 15.10.2029, 3456
71,Кальцинированная сода, 3, 34, 20.11.2029, 1234
72,Поташ (Карбонат калия), 6, 56, 25.12.2029, 5678
73,E501, 7, 12, 01.01.2030, 9012
74,Сульфат калия, 3, 34, 15.02.2030, 1111
75,Кальцинированная сода, 3, 45, 20.03.2030, 2345
76,Поташ (Карбонат калия), 8, 56, 25.04.2030, 6789
77,E501, 6, 90, 10.05.2030, 3456
78,Сульфат калия, 4, 12, 15.06.2030, 1234
79,Кальцинированная сода, 3, 23, 20.07.2030, 5678
80,Поташ (Карбонат калия), 7, 45, 25.08.2030, 9012
81,E501, 8, 67, 01.09.2030, 1111
82,Сульфат калия, 2, 78, 15.10.2030, 2345
83,Кальцинированная сода, 3, 34, 20.11.2030, 6789
84,Поташ (Карбонат калия), 6, 56, 25.12.2030, 3456
85,E501, 7, 12, 01.01.2031, 1234
86,Сульфат калия, 3, 34, 15.02.2031, 5678
87,Кальцинированная сода, 3, 45, 20.03.2031, 9012
88,Поташ (Карбонат калия), 8, 56, 25.04.2031, 1111
89,E501, 6, 90, 10.05.2031, 2345
90,Сульфат калия, 4, 12, 15.06.2031, 6789
91,Кальцинированная сода, 3, 23, 20.07.2031, 3456
92,Поташ (Карбонат калия), 7, 45, 25.08.2031, 1234
93,E501, 8, 67, 01.09.2031, 5678
94,Сульфат калия, 2, 78, 15.10.2031, 9012
95,Кальцинированная сода, 3, 34, 20.11.2031, 1111
96,Поташ (Карбонат калия), 6, 56, 25.12.2031, 2345
97,E501, 7, 12, 01.01.2032, 6789
98,Сульфат калия, 3, 34, 15.02.2032, 3456
99,Кальцинированная сода, 3, 45, 20.03.2032, 1234
100,Поташ (Карбонат калия), 8, 56, 25.04.2032, 5678

